"loss","qoe"
0.52355,1.4152
0.26084,2.2719
0.49308,1.3619
0.85584,1.1463
0.72441,1.0478
0.19911,2.455
0.15729,2.6471
0.37048,1.6344
0.86227,1.1464
0.68476,1.0245
0.6342,1.1456
0.14132,2.9008
0.079302,3.6098
0.87615,1.1403
0.42043,1.4955
0.48766,1.4232
0.46033,1.4401
0.51568,1.3972
0.27199,1.801
0.23158,2.1544
0.89953,1.0274
0.9087,1.0773
0.60364,1.3104
0.36524,1.5801
0.59859,1.1401
0.66849,1.1129
0.89456,1.1152
0.087336,3.5954
0.53901,1.3827
0.42845,1.3924
0.61715,1.2239
0.55888,1.2833
0.22585,2.1287
0.10452,3.4016
0.0099777,4.9793
0.059153,3.8561
0.32265,1.7332
0.33548,1.8603
0.61957,1.1249
0.99289,1.1031
0.53978,1.0869
0.23225,2.3521
0.73983,1.1583
0.88899,1.075
0.85981,1.151
0.59706,1.2089
0.65475,1.1654
0.43318,1.4595
0.28976,1.8294
0.63188,1.0807
0.29542,1.8655
0.62203,1.1923
0.047534,4.3141
0.99461,1.0654
0.20676,2.4632
0.60736,1.2463
0.34763,1.8237
0.71774,1.1686
0.027993,4.4839
0.066842,3.8203
0.92706,1.0985
0.087772,3.4107
0.3324,1.7632
0.52618,1.3824
0.24664,2.1426
0.5429,1.3226
0.78087,1.0979
0.52188,1.3528
0.14711,3.0841
0.41677,1.5375
0.28029,1.999
0.5981,1.082
0.036475,4.3138
0.063687,3.7646
0.32288,1.7672
0.098379,3.323
0.17004,2.7029
0.37116,1.6405
0.039762,4.2304
0.70924,1.2786
0.64134,1.2988
0.17406,2.8167
0.062152,3.9906
0.40666,1.6016
0.46306,1.3292
0.20267,2.4652
0.59794,1.2252
0.023014,4.6794
0.45295,1.3945
0.058026,3.8461
0.10627,3.4119
0.99843,1.1502
0.86633,1.1669
0.61521,1.082
0.026944,4.4249
0.32252,1.7872
0.46378,1.354
0.099017,3.3853
0.32588,1.8479
0.45049,1.3971
0.57784,1.2918
0.074844,3.7778
0.057343,3.7051
0.30096,1.8581
0.52172,1.3732
0.56188,1.3455
0.24155,2.1637
0.91272,1.0937
0.82573,1.0882
0.44455,1.5254
0.98206,1.2258
0.57827,1.1309
0.23442,2.4488
0.81059,1.0909
0.45127,1.339
0.24997,2.0652
0.95544,1.0455
0.14265,2.974
0.51256,1.3494
0.97193,1.1137
0.64832,1.1926
0.61467,1.0826
0.46965,1.3131
0.57778,1.1467
0.37622,1.6452
0.22876,2.3085
0.42352,1.4585
0.2736,1.9186
0.44457,1.4006
0.62752,1.2333
0.53464,1.2632
0.38544,1.7262
0.30035,1.9204
0.40003,1.6564
0.51772,1.2145
0.061825,3.9308
0.23137,2.1364
0.11849,3.1188
0.09878,3.2962
0.033389,4.4217
0.83903,1.0363
0.50727,1.3749
0.11372,3.3681
0.49045,1.3807
0.59944,1.2773
0.090216,3.6233
0.97822,1.2658
0.65302,1.2285
0.46113,1.2496
0.86376,1.0828
0.26283,2.1416
0.82396,1.1593
0.32898,1.8539
0.24411,2.1831
0.95711,1.0679
0.51082,1.3326
0.56458,1.4406
0.77098,1.1703
0.3138,1.9516
0.057873,3.9359
0.044074,4.2585
0.81294,1.0598
0.41207,1.4063
0.38416,1.596
0.52313,1.4593
0.89215,1.0063
0.40592,1.5883
0.60439,1.0827
0.094804,3.3978
0.33598,1.6217
0.14484,2.7954
0.24488,2.0815
0.37897,1.5114
0.27032,1.9911
0.2156,2.1968
0.63373,1.1176
0.20851,2.3308
0.89626,1.0136
0.74571,1.2133
0.53639,1.2732
0.96997,1.0734
0.56488,1.3959
0.21769,2.4154
0.85776,1.0678
0.862,1.1623
0.3133,2.0581
0.32698,1.7282
0.84001,1.1448
0.49253,1.2594
0.051902,3.9609
0.77802,1.014
0.42667,1.4664
0.27996,1.7904
0.33351,1.595
0.36694,1.6329
0.79479,1.1353
0.038691,4.375
0.72667,1.1494
0.87268,1.033
0.28581,2.0111
0.65685,1.3992
0.23189,2.4523
0.62195,1.1725
0.075124,3.8889
0.60997,1.2245
0.38372,1.6017
0.03057,4.5094
0.60354,1.2581
0.84784,1.0745
0.50462,1.3537
0.0079108,4.742
0.91907,1.001
0.4107,1.3587
0.73237,1.0294
0.15111,2.7821
0.81523,1.0329
0.9096,1.0593
0.77794,1.1666
0.4052,1.5568
0.7019,1.2283
0.56546,1.3328
0.58474,1.0555
0.34491,1.7862
0.70423,1.1014
0.16086,2.9277
0.562,1.2059
0.54648,1.2872
0.55083,1.3057
