Type,UNIX time,Date (Europe/Berlin MEZ),Differenz,,Device,Context
know ,1576734813,19.12.19 06:53,,,mobile,Living room
know ,1576734850,19.12.19 06:54,37,00:00:37,mobile,Living room
know ,1576735179,19.12.19 06:59,329,00:05:29,mobile,Living room
know ,1576735505,19.12.19 07:05,326,00:05:26,mobile,Living room
have,1576738060,19.12.19 07:47,2555,00:42:35,door,Garage
have,1576738389,19.12.19 07:53,329,00:05:29,bicycle,Doctor
are,1576738726,19.12.19 07:58,337,00:05:37,reception,Doctor
have,1576738743,19.12.19 07:59,17,00:00:17,bicycle,Doctor
have,1576739063,19.12.19 08:04,320,00:05:20,front door,Residence
know ,1576740432,19.12.19 08:27,1369,00:22:49,mobile,Living room
have,1576742383,19.12.19 08:59,1951,00:32:31,bicycle,Doctor
are,1576742437,19.12.19 09:00,54,00:00:54,reception,Doctor
have,1576743778,19.12.19 09:22,1341,00:22:21,bicycle,Doctor
have,1576744288,19.12.19 09:31,510,00:08:30,door,Garage
have,1576744315,19.12.19 09:31,27,00:00:27,front door,Residence
know ,1576744934,19.12.19 09:42,619,00:10:19,mobile,Office
know ,1576744973,19.12.19 09:42,39,00:00:39,pc,Office
know ,1576744994,19.12.19 09:43,21,00:00:21,pc,Office
know ,1576745115,19.12.19 09:45,121,00:02:01,mobile,Office
know ,1576745661,19.12.19 09:54,546,00:09:06,pc,Office
know ,1576746319,19.12.19 10:05,658,00:10:58,pc,Office
know ,1576747254,19.12.19 10:20,935,00:15:35,pc,Office
know ,1576747300,19.12.19 10:21,46,00:00:46,pc,Office
know ,1576747319,19.12.19 10:21,19,00:00:19,pc,Office
know ,1576748966,19.12.19 10:49,1647,00:27:27,pc,Office
have,1576753378,19.12.19 12:02,4412,01:13:32,front door,Residence
know ,1576753894,19.12.19 12:11,516,00:08:36,pc,Office
know ,1576762973,19.12.19 14:42,9079,02:31:19,pc,Office
know ,1576765954,19.12.19 15:32,2981,00:49:41,pc,Office
know ,1576765971,19.12.19 15:32,17,00:00:17,pc,Office
have,1576768595,19.12.19 16:16,2624,00:43:44,gate,Garage
have,1576768845,19.12.19 16:20,250,00:04:10,gate,Garage
have,1576768887,19.12.19 16:21,42,00:00:42,front door,Residence
know ,1576769111,19.12.19 16:25,224,00:03:44,mobile,Office
know ,1576777691,19.12.19 18:48,8580,02:23:00,mobile,Office
know,1576779997,19.12.19 19:26,2306,00:38:26,handheld,Living room
know ,1576780455,19.12.19 19:34,458,00:07:38,mobile,Living room
know ,1576782911,19.12.19 20:15,2456,00:40:56,mobile,Living room
know ,1576783324,19.12.19 20:22,413,00:06:53,mobile,Living room
know ,1576788295,19.12.19 21:44,4971,01:22:51,mobile,Living room
