day,collections
2006-09-09,516
2006-09-16,541
2006-09-23,563
2006-09-30,584
2006-10-07,559
2006-10-14,594
2006-10-21,635
2006-10-28,660
2006-11-04,662
2006-11-11,664
2006-11-18,665
2006-11-25,670
2006-12-02,666
2006-12-09,673
2006-12-16,676
2006-12-23,681
2006-12-30,682
2007-01-06,682
2007-01-13,683
2007-01-20,685
2007-01-27,686
2007-02-04,697
2007-02-11,701
2007-02-18,706
2007-02-25,707
2007-03-04,679
2007-03-11,701
2007-03-18,727
2007-03-25,749
2007-04-01,739
2007-04-08,740
2007-04-15,759
2007-04-22,773
2007-04-29,751
2007-05-06,752
2007-05-13,749
2007-05-20,749
2007-05-27,752
2007-06-03,753
2007-06-10,755
2007-06-17,757
2007-06-24,762
2007-07-01,765
2007-07-08,773
2007-07-15,779
2007-07-22,782
2007-07-29,783
2007-08-12,676
2007-08-19,667
2007-08-26,670
2007-09-02,676
2007-09-09,618
2007-09-16,612
2007-09-23,640
2007-09-30,684
2007-10-07,666
2007-10-14,701
2007-10-21,742
2007-10-28,781
2007-11-04,803
2007-11-11,809
2007-11-18,808
2007-11-25,813
2007-12-02,815
2007-12-09,819
2007-12-11,819
2007-12-16,823
2007-12-23,825
2007-12-30,825
2008-01-06,826
2008-01-13,833
2008-01-20,838
2008-01-27,842
2008-02-03,843
2008-02-10,847
2008-02-17,852
2008-02-24,856
2008-03-02,798
2008-03-09,820
2008-03-10,820
2008-03-16,830
2008-03-23,833
2008-03-30,860
2008-04-13,832
2008-04-20,861
2008-04-27,851
2008-05-04,857
2008-05-11,852
2008-05-18,854
2008-05-25,858
2008-06-01,855
2008-06-08,853
2008-06-15,855
2008-06-22,859
2008-06-29,865
2008-07-06,869
2008-07-13,879
2008-07-20,877
2008-07-27,884
2008-08-03,887
2008-08-10,778
2008-08-17,771
2008-08-24,782
2008-08-31,716
2008-09-07,727
2008-09-14,738
2008-09-21,759
2008-09-28,786
2008-10-05,792
2008-10-12,855
2008-10-19,889
2008-10-26,952
2008-11-02,943
2008-11-09,963
2008-11-16,948
2008-11-23,953
2008-11-30,960
2008-12-07,955
2008-12-14,957
2008-12-21,959
2008-12-28,959
2009-01-04,961
2009-01-11,962
2009-01-18,966
2009-01-25,968
2009-02-01,980
2009-02-08,988
2009-02-15,993
2009-02-22,1001
2009-03-01,894
2009-03-08,914
2009-03-15,916
2009-03-22,928
2009-03-29,839
2009-04-05,849
2009-04-12,888
2009-04-19,923
2009-04-26,982
2009-05-03,993
2009-05-10,990
2009-05-17,997
2009-05-24,1004
2009-05-31,1006
2009-06-07,1009
2009-06-14,1011
2009-06-21,1010
2009-06-28,1020
2009-07-05,1021
2009-07-12,1025
2009-07-19,1031
2009-07-26,1036
2009-08-02,1035
2009-08-09,900
2009-08-16,905
2009-08-23,919
2009-08-30,942
2009-09-06,948
2009-09-13,953
2009-09-20,876
2009-09-27,882
2009-09-30,904
2009-10-04,921
2009-10-11,980
2009-10-13,1000
2009-10-18,1028
2009-10-25,1053
2009-11-01,1059
2009-11-08,1054
2009-11-15,1049
2009-11-22,1046
2009-11-29,1050
2009-12-06,1052
2009-12-13,1056
2009-12-20,1058
2009-12-27,1058
2010-01-03,1059
2010-01-10,1061
2010-01-17,1069
2010-01-24,1074
2010-01-31,1078
2010-02-06,1087
2010-02-07,1087
